dex,species,reason
152,CHIKORITA,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
153,BAYLEEF,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
154,MEGANIUM,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
155,CYNDAQUIL,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
156,QUILAVA,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
157,TYPHLOSION,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
158,TOTODILE,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
159,CROCONAW,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
160,FERALIGATR,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
169,CROBAT,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
172,PICHU,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
173,CLEFFA,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
174,IGGLYBUFF,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
175,TOGEPI,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
176,TOGETIC,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
178,XATU,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
179,MAREEP,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
180,FLAAFFY,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
181,AMPHAROS,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
182,BELLOSSOM,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
184,AZUMARILL,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
185,SUDOWOODO,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
186,POLITOED,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
